TAM AMOSTRA,TEMPO,SPECS_ID
100,267,1
1000,1337,1
10000,11183,1
100,178,1
1000,940,1
10000,11280,1
100,293,1
1000,1387,1
10000,14844,1
100,107,1
1000,1217,1
10000,10596,1
100,121,1
1000,1451,1
10000,12976,1
100,284,1
1000,1286,1
10000,15041,1
100,208,1
1000,2253,1
10000,11964,1
100,116,1
1000,1174,1
10000,17097,1
100,327,1
1000,1488,1
10000,10830,1
100,149,1
1000,1213,1
10000,11768,1
100,304,1
1000,1514,1
10000,11121,1
100,190,1
1000,1136,1
10000,11558,1
100,173,1
1000,1230,1
10000,11787,1
100,258,1
1000,2247,1
10000,17283,1
100,111,1
1000,1259,1
10000,13598,1
100,130,1
1000,1197,1
10000,10241,1
100,108,1
1000,997,1
10000,14956,1
100,142,1
1000,1337,1
10000,14704,1
100,134,1
1000,1253,1
10000,13279,1
100,293,1
1000,1699,1
10000,10675,1
100,219,1
1000,1374,1
10000,11153,1
100,112,1
1000,1174,1
10000,10826,1
100,123,1
1000,1445,1
10000,15335,1
100,136,1
1000,1245,1
10000,13339,1
100,122,1
1000,1075,1
10000,10350,1
100,215,1
1000,1293,1
10000,11776,1
100,435,1
1000,1735,1
10000,20766,1
100,157,1
1000,1344,1
10000,14744,1
100,291,1
1000,2058,1
10000,12296,1
100,109,1
1000,1192,1
10000,11110,1
100,147,1
1000,1232,1
10000,13331,1
100,228,1
1000,1576,1
10000,11015,1
100,179,1
1000,1518,1
10000,10381,1
100,136,1
1000,1161,1
10000,10658,1
100,301,1
1000,1143,1
10000,13563,1
100,162,1
1000,1223,1
10000,10583,1
100,115,1
1000,1051,1
10000,10764,1
100,224,1
1000,1310,1
10000,11577,1
100,164,1
1000,1801,1
10000,12500,1
100,156,1
1000,1755,1
10000,15026,1
100,273,1
1000,1146,1
10000,10695,1
100,122,1
1000,1063,1
10000,14663,1
100,131,1
1000,1083,1
10000,11010,1
100,123,1
1000,1131,1
10000,11863,1
100,291,1
1000,1294,1
10000,14750,1
100,216,1
1000,1223,1
10000,10716,1
100,211,1
1000,1251,1
10000,11461,1
100,106,1
1000,1146,1
10000,10842,1
100,138,1
1000,1187,1
10000,10972,1
100,147,1
1000,1105,1
10000,15356,1
100,313,1
1000,1177,1
10000,16629,1
100,306,1
1000,1345,1
10000,11329,1
100,116,1
1000,1132,1
10000,11550,1
100,119,1
1000,1132,1
10000,13255,1
100,123,1
1000,1211,1
10000,10481,1
100,299,1
1000,1458,1
10000,10856,1
100,148,1
1000,1262,1
10000,13991,1
100,299,1
1000,1342,1
10000,11230,1
100,134,1
1000,1185,1
10000,11593,1
100,130,1
1000,1178,1
